height,block_hash,header_hex,version,previous_block_hash,merkle_root,timestamp,bits,nonce,x1331_l1,x1331_l2,x1331_l3,x1331_l4,x1331_l5,x1331_l6,x1331_l7,x1331_l8,x1331_l9,x1331_l10,x1331_l11,verified
890000,00000000000000000001f49fb5fb37753c06d78f1a811d707aebf6194bb147e5,00a0e925789d369c20917de699ca351b768b04c3f862b287fc3e000000000000000000007d7e8a1bbdfa502458222d4b3bc0357de2e6558f8a6a0ebbd3a02a3a653ee5d2dd2de8676c7902173f21cc4b,636067840,000000000000000000003efc87b262f8c3048b761b35ca99e67d91209c369d78,d2e53e653a2aa0d3bb0e6a8a8f55e6e27d35c03b4b2d22582450fabd1b8a7e7d,1743269341,386038124,1271669055,010,010,111,100,110,000,100,001,001,111,011,true
890001,0000000000000000000206a67d954c5f39fa753c078d156c02cd5bfe479eb5d8,00609a22e547b14b19f6eb7a701d811a8fd7063c7537fbb59ff40100000000000000000004c2fe90612bb736b62a9933508c4f7b31a0dccf535623feb0e00ada008b8521cd30e8676c7902175e0686c1,580542464,00000000000000000001f49fb5fb37753c06d78f1a811d707aebf6194bb147e5,21858b00da0ae0b0fe235653cfdca0317b4f8c5033992ab636b72b6190fec204,1743270093,386038124,3246786142,110,000,011,000,011,000,000,110,010,111,010,true
890002,000000000000000000016d29a382ce846ecc50a3cb18ccc55a68ec52496c5cb4,00601520d8b59e47fe5bcd026c158d073c75fa395f4c957da6060200000000000000000035a186807d96f3f663d02b4849944a1a7dfa47c963cc0d746ed927acb90daedb7933e8676c79021725dc38f7,538271744,0000000000000000000206a67d954c5f39fa753c078d156c02cd5bfe479eb5d8,dbae0db9ac27d96e740dcc63c947fa7d1a4a9449482bd063f6f3967d8086a135,1743270777,386038124,4147698725,111,101,110,011,100,011,011,100,001,001,001,true
890003,000000000000000000004ed7ca514b1c413af649dd8861d5c64a449b55dd9ecb,0060f924b45c6c4952ec685ac5cc18cba350cc6e84ce82a3296d0100000000000000000074dc840487d9025f2fb25531a4fb2ae460da14e7bd73c751a8f7419d42932f028736e8676c7902173d6be42b,620322816,000000000000000000016d29a382ce846ecc50a3cb18ccc55a68ec52496c5cb4,022f93429d41f7a851c773bde714da60e42afba43155b22f5f02d9870484dc74,1743271559,386038124,736389949,001,010,111,110,010,001,101,011,001,111,001,true
890004,000000000000000000024ccc26616540c73e174cc43d244518f5794d1a5d33e4,00a0d021cb9edd559b444ac6d56188dd49f63a411c4b51cad74e00000000000000000000f500ea36c927cc7d7251dc69bde3a05b86d9a4ed1b8b926c48fd72f4a0df9d06b63fe8676c7902177e6ea77a,567320576,000000000000000000004ed7ca514b1c413af649dd8861d5c64a449b55dd9ecb,069ddfa0f472fd486c928b1beda4d9865ba0e3bd69dc51727dcc27c936ea00f5,1743273910,386038124,2057793150,011,110,101,010,011,101,101,110,011,111,010,true
890005,0000000000000000000027968a54587e12350735cf78c55683bef699170a4cce,00e0412de4335d1a4d79f51845243dc44c173ec740656126cc4c02000000000000000000921196b3996c219cb77274327e63a3742f0bed75e41be055791ee421e2abc29b6b46e8676c790217311cbe1b,759291904,000000000000000000024ccc26616540c73e174cc43d244518f5794d1a5d33e4,9bc2abe221e41e7955e01be475ed0b2f74a3637e327472b79c216c99b3961192,1743275627,386038124,465443889,000,110,111,011,111,000,011,100,001,100,001,true
890006,00000000000000000001dfe40134b24179337210023e889d0959c5bed3125e9a,00801125ce4c0a1799f6be8356c578cf350735127e58548a962700000000000000000000adbb2fbbecea1703fd8f543ddae95838c1892a54c07ae87eab5f9164dec71f56be46e8676c790217cb183a5b,621903872,0000000000000000000027968a54587e12350735cf78c55683bef699170a4cce,561fc7de64915fab7ee87ac0542a89c13858e9da3d548ffd0317eaecbb2fbbad,1743275710,386038124,1530534091,010,110,110,011,101,000,011,000,110,010,011,true
890007,00000000000000000001cf386abc85d4a168996329e387bc3979351eafd459eb,006072269a5e12d3bec559099d883e021072337941b23401e4df010000000000000000000fafa2acb03afae2681a85b2cc51cac41d9bea52f0b9515a40693fe361ccb7428247e8676c790217b8a685bf,645029888,00000000000000000001dfe40134b24179337210023e889d0959c5bed3125e9a,42b7cc61e33f69405a51b9f052ea9b1dc4ca51ccb2851a68e2fa3ab0aca2af0f,1743275906,386038124,3213207224,101,111,111,000,010,110,100,110,101,110,000,true
890008,00000000000000000001a0fca29e1fa5e44580ba7620c59af7f4275fbe2b357f,00a00123eb59d4af1e357939bc87e329639968a1d485bc6a38cf01000000000000000000602d2b958fdad238c14472391f27ef3d7ddc7de21a9d7bcb8fea081f28dbe18b1148e8676c7902170243f91a,587309056,00000000000000000001cf386abc85d4a168996329e387bc3979351eafd459eb,8be1db281f08ea8fcb7b9d1ae27ddc7d3def271f397244c138d2da8f952b2d60,1743276049,386038124,452543234,000,110,101,111,100,101,000,011,000,000,010,true
890009,000000000000000000000dcfb411e314c1f674b351bebcb2a4c51d00b5b39aae,00e057227f352bbe5f27f4f79ac52076ba8045e4a51f9ea2fca0010000000000000000007d2f3141c38e3c2b4d779f4a344ca3a6b21dd33b0528e2f74c108caafe72cb031549e8676c790217b10c750a,576184320,00000000000000000001a0fca29e1fa5e44580ba7620c59af7f4275fbe2b357f,03cb72feaa8c104cf7e228053bd31db2a6a34c344a9f774d2b3c8ec341312f7d,1743276309,386038124,175443121,000,010,100,111,010,100,001,100,101,100,001,true
