LIVE-11Q-B — X1331 SIGNAL OBSERVER
Classical quantum-inspired runtime
No SHA execution
No future digest knowledge
PASS / TRY signal laboratory

============================================================
STIMULUS 000  bits=[0, 0, 0]
============================================================
 round  entropy     conc      sep    coher   motion   signal   delta    K stable
     0   1.9987   0.3338   0.0250   0.9988   0.0115   0.0524 +0.0524    4      0
     1   1.0248   0.6584   0.0481   0.9919   0.1316   0.1340 +0.0816    4      0
     2   0.1213   0.9596   0.9729   0.9886   0.1395   0.8730 +0.7390    1      0
     3   1.1188   0.6271   0.0216   0.9898   0.0179   0.0908 -0.7821    4      0
     4   2.0850   0.3050   0.0371   0.9952   0.0805   0.0562 -0.0346    4      0
     5   2.9715   0.0095   0.0351   0.9455   0.1562   0.0016 -0.0546    8      0
     6   2.4178   0.1941   0.0819   0.8446   0.2704   0.0436 +0.0420    4      0
     7   2.0301   0.3233   0.1404   0.7257   0.2873   0.0871 +0.0435    4      0
     8   1.8130   0.3957   0.4049   0.7669   0.2949   0.1851 +0.0980    2      0
     9   2.1868   0.2711   0.3323   0.8459   0.1187   0.1349 -0.0502    4      0
    10   2.2179   0.2607   0.3417   0.9749   0.1259   0.1407 +0.0058    4      0
    11   1.9013   0.3662   0.3802   0.7795   0.1281   0.1862 +0.0455    4      0
    12   2.0878   0.3041   0.0124   0.7396   0.3640   0.0232 -0.1629    4      0
    13   2.4449   0.1850   0.0072   0.7330   0.3284   0.0110 -0.0122    4      0
    14   2.9863   0.0046   0.0001   0.8470   0.3569   0.0000 -0.0110    8      0
    15   2.3173   0.2276   0.0681   0.8259   0.3528   0.0434 +0.0434    4      0
    16   1.9441   0.3520   0.1425   0.6476   0.4122   0.0820 +0.0386    4      0
    17   1.8401   0.3866   0.3323   0.5975   0.4251   0.1306 +0.0486    2      0
    18   2.3471   0.2176   0.2445   0.7128   0.1028   0.0861 -0.0446    4      0
    19   2.3154   0.2282   0.2663   0.9921   0.2060   0.1045 +0.0185    4      0
    20   1.7712   0.4096   0.3339   0.6548   0.2253   0.1686 +0.0641    2      0
    21   1.8222   0.3926   0.2424   0.6923   0.4765   0.1164 -0.0522    2      0
    22   2.1574   0.2809   0.2117   0.7325   0.3880   0.0865 -0.0298    4      0
    23   2.8390   0.0537   0.0802   0.7876   0.4693   0.0098 -0.0767    8      0
    24   2.8434   0.0522   0.0765   0.4348   0.4818   0.0069 -0.0030    8      0
    25   2.8902   0.0366   0.0371   0.2482   0.4290   0.0027 -0.0042    8      0
    26   2.7095   0.0968   0.0151   0.4696   0.5573   0.0054 +0.0028    8      0
    27   2.4239   0.1920   0.0082   0.6281   0.5423   0.0093 +0.0039    4      0
    28   2.1737   0.2754   0.3786   0.6219   0.6509   0.0790 +0.0696    4      0
    29   2.3643   0.2119   0.1708   0.3093   0.5516   0.0326 -0.0464    4      0
    30   2.6874   0.1042   0.1157   0.4248   0.4212   0.0176 -0.0150    8      0
    31   2.8832   0.0389   0.1059   0.7528   0.4092   0.0084 -0.0091    8      0
   128   1.4820   0.5060   0.6469   0.7999   0.1941   0.3268 +0.1645    2      0
   256   2.7786   0.0738   0.1171   0.6889   0.3153   0.0173 -0.0258    8      0
   384   2.6509   0.1164   0.0923   0.5811   0.4108   0.0207 -0.0659    8      0
   512   2.5374   0.1542   0.0798   0.5242   0.4378   0.0236 -0.0223    4      0
   640   2.6549   0.1150   0.0191   0.5178   0.4464   0.0085 -0.0504    8      0
   768   2.6212   0.1263   0.0132   0.5035   0.4651   0.0075 -0.0615    4      0
   896   2.5999   0.1334   0.0091   0.4990   0.4661   0.0066 -0.0543    4      0
  1024   2.6173   0.1276   0.0008   0.4984   0.4659   0.0018 -0.0603    4      0
  1152   2.6116   0.1295   0.0004   0.4959   0.4697   0.0014 -0.0626    4      0
  1280   2.6076   0.1308   0.0012   0.4954   0.4699   0.0023 -0.0601    4      0
  1408   2.6107   0.1298   0.0026   0.4953   0.4698   0.0034 -0.0592    4      0
  1536   2.6097   0.1301   0.0029   0.4948   0.4705   0.0036 -0.0594    4      0
  1664   2.6089   0.1304   0.0030   0.4947   0.4706   0.0037 -0.0591    4      0
  1792   2.6095   0.1302   0.0033   0.4948   0.4705   0.0038 -0.0589    4      0
  1920   2.6093   0.1302   0.0033   0.4947   0.4707   0.0039 -0.0590    4      0
  2048   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  2176   2.6093   0.1302   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  2304   2.6093   0.1302   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  2432   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  2560   2.6093   0.1302   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  2688   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  2816   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  2944   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3072   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3200   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3328   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3456   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3584   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3712   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3840   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0
  3968   2.6092   0.1303   0.0034   0.4946   0.4707   0.0039 -0.0589    4      0

action          = PASS
reason          = no stable signal transition
round_budget    = 4096

============================================================
STIMULUS 001  bits=[0, 0, 1]
============================================================
 round  entropy     conc      sep    coher   motion   signal   delta    K stable
     0   1.9987   0.3338   0.0250   0.9988   0.0115   0.0524 +0.0524    4      0
     1   1.0243   0.6586   0.0524   0.9922   0.1429   0.1391 +0.0866    4      0
     2   0.1221   0.9593   0.9732   0.9861   0.1709   0.8557 +0.7166    1      0
