X1331 v0.22 Nonce Geometry / Regime Attribution
================================================
Input       : data/bitcoin-history-v020-frozen.csv
Output      : data/v022-nonce-geometry-1k.csv
Range       : 700000 .. 899999
Window      : 1000 blocks

DATASET VALIDATION
------------------
Rows        : 200000
First       : 700000
Last        : 899999
Consecutive : YES
Verified    : ALL

1K REGIME MAP
-------------
window              b9%     b8%     b7%     b6%     b5%      L9 H    Δb7(pp)
700000..700999  50.90%  46.90%  39.70%  43.80%  48.40%   2.94359     +0.00
701000..701999  49.90%  52.20%  38.60%  45.60%  47.40%   2.92702     -1.10
702000..702999  50.30%  49.70%  37.80%  43.70%  44.90%   2.92859     -0.80
703000..703999  47.80%  50.60%  39.20%  43.90%  48.00%   2.94121     +1.40
704000..704999  49.10%  48.60%  38.40%  45.20%  46.50%   2.94192     -0.80
705000..705999  48.70%  48.50%  38.00%  44.30%  46.10%   2.92439     -0.40
706000..706999  46.30%  49.30%  37.60%  44.70%  45.80%   2.93141     -0.40
707000..707999  48.90%  48.50%  37.30%  43.80%  47.60%   2.93728     -0.30
708000..708999  49.70%  46.20%  36.60%  46.70%  46.90%   2.92441     -0.70
709000..709999  51.00%  47.60%  36.00%  42.70%  48.50%   2.91881     -0.60
710000..710999  50.00%  46.70%  39.00%  47.10%  46.30%   2.95060     +3.00
711000..711999  50.00%  47.10%  36.00%  44.90%  46.50%   2.90346     -3.00
712000..712999  47.80%  50.00%  34.10%  46.60%  48.90%   2.90647     -1.90
713000..713999  51.60%  50.60%  35.00%  43.70%  46.00%   2.91093     +0.90
714000..714999  47.40%  48.80%  34.90%  43.10%  47.30%   2.90843     -0.10
715000..715999  47.30%  46.70%  35.50%  45.40%  46.80%   2.91414     +0.60
716000..716999  50.40%  46.70%  33.90%  45.30%  48.30%   2.90903     -1.60
717000..717999  50.50%  48.30%  34.40%  44.80%  49.60%   2.91355     +0.50
718000..718999  46.70%  48.10%  34.60%  44.10%  46.20%   2.88679     +0.20
719000..719999  48.80%  46.70%  35.40%  46.70%  46.00%   2.92198     +0.80
720000..720999  46.60%  45.80%  33.60%  45.20%  49.00%   2.88939     -1.80
721000..721999  51.10%  48.10%  35.10%  45.90%  46.60%   2.91741     +1.50
722000..722999  49.90%  42.40%  32.70%  45.90%  48.60%   2.89926     -2.40
723000..723999  47.50%  46.10%  31.80%  47.70%  49.20%   2.88745     -0.90
724000..724999  47.10%  46.90%  33.20%  44.40%  49.00%   2.89506     +1.40
725000..725999  50.40%  49.10%  32.00%  46.40%  48.70%   2.89326     -1.20
726000..726999  44.60%  45.70%  31.50%  46.00%  47.30%   2.88046     -0.50
727000..727999  47.90%  48.10%  32.80%  46.20%  45.90%   2.89507     +1.30
728000..728999  48.30%  47.20%  31.00%  44.50%  48.20%   2.86968     -1.80
729000..729999  46.40%  49.90%  33.30%  48.00%  48.30%   2.90876     +2.30
730000..730999  45.70%  46.00%  31.50%  46.00%  47.80%   2.87145     -1.80
731000..731999  45.30%  43.80%  32.80%  43.90%  49.20%   2.87890     +1.30
732000..732999  46.00%  45.50%  29.70%  44.80%  46.90%   2.85777     -3.10
733000..733999  47.80%  46.40%  32.20%  45.20%  49.60%   2.89070     +2.50
734000..734999  48.00%  45.90%  30.60%  46.90%  45.80%   2.86954     -1.60
735000..735999  46.30%  44.50%  29.60%  47.30%  48.40%   2.86695     -1.00
736000..736999  48.60%  43.50%  34.10%  49.40%  46.90%   2.90330     +4.50
737000..737999  47.20%  45.50%  29.90%  46.30%  51.50%   2.86587     -4.20
738000..738999  46.80%  45.20%  28.70%  47.60%  46.20%   2.84609     -1.20
739000..739999  46.20%  42.80%  28.80%  45.80%  46.50%   2.84778     +0.10
740000..740999  48.90%  46.30%  30.20%  46.60%  48.60%   2.87217     +1.40
