start_height,end_height,start_timestamp,end_timestamp,n,bit9_ones,bit9_pct,bit8_ones,bit8_pct,bit7_ones,bit7_pct,bit6_ones,bit6_pct,bit5_ones,bit5_pct,l9_000,l9_001,l9_010,l9_011,l9_100,l9_101,l9_110,l9_111,l9_entropy,l9_chi2,bit7_delta_prev_pp
700000,700999,1631333672,1631917257,1000,509,50.900000,469,46.900000,397,39.700000,438,43.800000,484,48.400000,145,166,158,134,140,111,73,73,2.943593442,72.640000000,0.000000
701000,701999,1631917848,1632494649,1000,499,49.900000,522,52.200000,386,38.600000,456,45.600000,474,47.400000,139,170,147,158,155,80,85,66,2.927024052,94.400000000,-1.100000
702000,702999,1632494957,1633071452,1000,503,50.300000,497,49.700000,378,37.800000,437,43.700000,449,44.900000,169,163,158,132,143,88,81,66,2.928586143,93.024000000,-0.800000
703000,703999,1633072128,1633637270,1000,478,47.800000,506,50.600000,392,39.200000,439,43.900000,480,48.000000,160,161,139,148,147,93,74,78,2.941211739,76.512000000,1.400000
704000,704999,1633637512,1634231697,1000,491,49.100000,486,48.600000,384,38.400000,452,45.200000,465,46.500000,177,146,141,152,136,89,81,78,2.941917549,77.536000000,-0.800000
705000,705999,1634232011,1634818738,1000,487,48.700000,485,48.500000,380,38.000000,443,44.300000,461,46.100000,150,160,176,134,141,106,72,61,2.924391183,96.432000000,-0.400000
706000,706999,1634819148,1635372679,1000,463,46.300000,493,49.300000,376,37.600000,447,44.700000,458,45.800000,164,155,165,140,137,97,76,66,2.931409241,88.448000000,-0.400000
707000,707999,1635372705,1635930138,1000,489,48.900000,485,48.500000,373,37.300000,438,43.800000,476,47.600000,170,180,153,124,118,94,83,78,2.937280708,86.544000000,-0.300000
708000,708999,1635930203,1636507097,1000,497,49.700000,462,46.200000,366,36.600000,467,46.700000,469,46.900000,152,163,162,157,140,78,77,71,2.924409851,97.760000000,-0.700000
709000,709999,1636507561,1637074612,1000,510,51.000000,476,47.600000,360,36.000000,427,42.700000,485,48.500000,165,186,147,142,124,98,79,59,2.918805129,106.368000000,-0.600000
710000,710999,1637076118,1637685350,1000,500,50.000000,467,46.700000,390,39.000000,471,47.100000,463,46.300000,156,151,154,149,135,87,92,76,2.950604805,64.704000000,3.000000
711000,711999,1637686066,1638311579,1000,500,50.000000,471,47.100000,360,36.000000,449,44.900000,465,46.500000,154,158,165,163,143,96,73,48,2.903462551,118.176000000,-3.000000
712000,712999,1638311704,1638859737,1000,478,47.800000,500,50.000000,341,34.100000,466,46.600000,489,48.900000,172,169,141,177,124,69,74,74,2.906467571,123.552000000,-1.900000
713000,713999,1638860274,1639418466,1000,516,51.600000,506,50.600000,350,35.000000,437,43.700000,460,46.000000,184,163,160,143,128,88,68,66,2.910928632,116.656000000,0.900000
714000,714999,1639418644,1640034657,1000,474,47.400000,488,48.800000,349,34.900000,431,43.100000,473,47.300000,187,164,146,154,128,90,66,65,2.908426281,119.696000000,-0.100000
